,From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5,Date,year,month,day,hour,minute
93,01-02-2019 00:00,276.94,66.49,76.05,0.51,2.33,6.41,94.67,55.31,39.08,26.97,82.88,186.16,2019-01-02 00:00:00,2019,1,2,0,0
94,01-02-2019 08:00,275.88,44.85,68.3,1.56,2.04,6.84,72.85,44.74,20.88,29.53,53.12,165.03,2019-01-02 08:00:00,2019,1,2,8,0
95,01-02-2019 16:00,380.69,102.67,74.45,0.97,1.15,9.79,123.21,16.9,9.75,26.52,53.35,255.16,2019-01-02 16:00:00,2019,1,2,16,0
96,02-02-2019 00:00,285.12,71.21,44.16,1.06,1.4,5.72,81.59,16.36,5.95,24.33,32.28,195.72,2019-02-02 00:00:00,2019,2,2,0,0
97,02-02-2019 08:00,319.69,108.64,69.34,1.1,1.08,6.86,125.42,24.27,6.81,20.87,35.68,197,2019-02-02 08:00:00,2019,2,2,8,0
98,02-02-2019 16:00,424.38,151.41,88.74,0.51,3.05,11.43,158.37,14.94,6.3,23.69,46.88,263.53,2019-02-02 16:00:00,2019,2,2,16,0
99,03-02-2019 00:00,200.56,71.29,41.08,0.52,3.27,5.87,79.97,15.13,6.14,28.21,36.05,144.78,2019-03-02 00:00:00,2019,3,2,0,0
100,03-02-2019 08:00,240.59,84.62,60.68,0.71,2.88,5.48,101.29,26.84,8.01,22.48,34.05,142.62,2019-03-02 08:00:00,2019,3,2,8,0
101,03-02-2019 16:00,419.16,166.3,85.34,0.32,3.14,10.25,181.02,15.98,9.94,21.24,50.44,198.06,2019-03-02 16:00:00,2019,3,2,16,0
102,04-02-2019 00:00,326.25,162.37,41.68,0.3,1.42,9.61,154.53,13.15,7.24,18.34,44.48,174.5,2019-04-02 00:00:00,2019,4,2,0,0
103,04-02-2019 08:00,341.06,53.45,140.43,0.55,2.15,10.54,118.27,35.11,11.21,54.83,45.7,181.09,2019-04-02 08:00:00,2019,4,2,8,0
